,artist_song,song_x,artist_x,genre,lyric,like,year_x,artist_y,song_y,key,camelot,bpm,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,year_y
0,미쓰에이 Bad Girl Good Girl,Bad Girl Good Girl,미쓰에이,댄스,You don't know me  You don't know me  You don't know me  You don't know me  So shut off boy  So shut off boy  So shut off boy  So shut off shut off  앞에선 한마디도 못하더니  뒤에선 내 얘길 안 좋게 해  참 어이가 없어  Hello hello hello  나 같은 여잔 처음  으로 으로 으로  본 것 같은데 왜 나를 판단하니  내가 혹시 두려운 거니  겉으론 Bad girl  속으론 Good girl  나를 잘 알지도 못하면서  내 겉모습만 보면서  한심한 여자로 보는  너의 시선이 난 너무나 웃겨  춤출 땐 Bad girl  사랑은 Good girl  춤추는 내 모습을 볼 때는  넋을 놓고 보고서는  끝나니 손가락질하는  그 위선이 난 너무나 웃겨  이런 옷 이런 머리 모양으로  이런 춤을 추는 여자는 뻔해  하 네가 더 뻔해  Hello hello hello  자신 없으면 저  뒤로 뒤로 뒤로  물러서면 되지 왜 자꾸 떠드니  네 속이 훤히 보이는 건 아니  겉으론 Bad girl  속으론 Good girl  나를 잘 알지도 못하면서  내 겉모습만 보면서  한심한 여자로 보는  너의 시선이 난 너무나 웃겨  춤출 땐 Bad girl  사랑은 Good girl  춤추는 내 모습을 볼 때는  넋을 놓고 보고서는  끝나니 손가락질하는  그 위선이 난 너무나 웃겨  날 감당 할 수 있는 남잘 찾아요  진짜 남자를 찾아요  말로만 남자다운 척할 남자 말고  날 불안해 하지 않을 남잔 없나요  자신감이 넘쳐서  내가 나일 수 있게  자유롭게 두고 멀리서 바라보는  겉으론 Bad girl  속으론 Good girl  나를 잘 알지도 못하면서  내 겉모습만 보면서  한심한 여자로 보는  너의 시선이 난 너무나 웃겨  춤출 땐 Bad girl  사랑은 Good girl  춤추는 내 모습을 볼 때는  넋을 놓고 보고서는  끝나니 손가락질하는  그 위선이 난 너무나 웃겨  You don't know me  You don't know me  You don't know me  You don't know me  So shut off boy  So shut off boy  So shut off boy  So shut off shut off,"15,190",2010,miss A,Bad Girl Good Girl,B♭ Major,6B,136,3:38,61.0,81.0,79.0,51.0,10.0,0.0,6.0,4.0,-4 dB,2010
1,아이유 잔소리 (With 2AM 슬옹),잔소리 (With 2AM 슬옹),아이유,발라드,늦게 다니지좀 마  술은 멀리좀 해봐  열살짜리 애처럼 말을 안듣니  정말 웃음만 나와  누가 누굴보고 아이라 하는지  정말 웃음만 나와  싫은 얘기 하게 되는 내 맘을 몰라  좋은 얘기만 나누고 싶은 내맘을 몰라  그만할까 그만하자  하나부터 열까지 다 널 위한 소리  내 말 듣지 않는 너에게는 뻔한 잔소리  그만하자 그만하자  사랑하기만해도 시간 없는데  머리 아닌 가슴으로 하는 이야기  니가 싫다 해도 안 할수가 없는 이야기  그만하자 그만하자  나의 잔소리가 들려  밥은 제 때 먹는지  여잔 멀리 하는지  온 종일을 네 옆에 있고 싶은데  내가 그 맘인거야  주머니속에 널 넣고 다니면  정말 행복할텐데  둘이 아니면 안되는 우리 이야기  누가 듣는다면 놀려대고 웃을 이야기  그만할까 그만하자  하나부터 열까지 다 널 위한 소리  내 말 듣지 않는 너에게는 뻔한 잔소리  그만하자 그만하자  사랑하기만해도 시간 없는데  머리 아닌 가슴으로 하는 이야기  니가 싫다 해도 안 할수가 없는 이야기  그만하자 그만하자  나의 잔소리가 들려  눈에 힘을 주고 겁을 줘봐도  내겐 그저 귀여운 얼굴  이럴래 자꾸 더는 못 참고  정말 화낼지 몰라  사랑하다 말거라면 안 할 이야기  누구보다 너를 생각하는 마음의 소리  화가 나도 소리 쳐도  너의 잔소리마저 난 달콤한데  사랑해야 할 수 있는 그런 이야기  내 말 듣지 않는 너에게는 뻔한 잔소리  그만하자 그만하자  이런 내 맘을 믿어줘,"725,853",2010,IU,Nitpicking,C# Major,3B,112,3:34,48.0,77.0,76.0,77.0,10.0,0.0,10.0,4.0,-4 dB,2010
2,MC몽 죽을 만큼 아파서 (Feat. 멜로우),죽을 만큼 아파서 (Feat. 멜로우),MC몽,랩/힙합,I found the way to let you leave I never really had it coming I can't be in the sight of you I want you to stay away from my heart 너의 집 앞으로 가고 있어 빨리 전화 받어 내가 아파서 죽을 것 같거든 너 못보면 내가 진짜 죽을 것 같애 전화 좀 받아줘 1분만 내 말좀 들어줘봐 잠깐만 죽을 것 같애서 난 숨도 못쉬어 나좀 살자 제발 한번만 너의 집 앞에서 네시간째 찢어지는 내 맘 넌 모른채 웃고있니 행복하니 모든 추억과 날 버린채 아프고 숨이 막히는 침묵 어느 새 내 눈물을 가려버린 빗물 머리에서 발끝까지 소름이 끼칠 듯 내 피가 솟구치는 기분 중독된것처럼 하루종일 온통 고통스런 But she's gone 바라보는 너의 시선 그리워 That's why sing this song 제발 지옥같은 여기서 날 꺼내줘 이게 꿈이라면 어서 날 깨워줘 모든것이 다 거짓말이라고 해줘 내게 말해줘 말해줘 나 살 수 있게 I found the way to let you leave I never really had it coming I can't be in the sight of you I want you to stay away from my heart Every day and night 난 술에 만취 마음이 안심하는 것도 잠시 시간이 약이면 왜 낫질 않지 이럴 순 없어 이건 사랑의 반칙 미안해 난 참 욕심이 많아 수면제도 나를 돕지를 않아 밤낮이 바껴 니 생각마다 이리저리 돌아다녀 몸부림 치나봐 하늘이 내게 내린 벌인가 아님 그리 쉽게 나를 버릴까 억지로 누군가를 사랑하며 또 살아갈까 별들 사이를 누비고 내 맘을 노래로 채우고 Don't leave let me freez 날 좀 도와줘 Help me please 제발 지옥같은 여기서 날 꺼내줘 이게 꿈이라면 어서 날 깨워줘 모든것이 다 거짓말이라고 해줘 내게 말해줘 말해줘 나 살 수 있게 I found the way to let you leave I never really had it coming I can't be in the sight of you I want you to stay away from my heart I don't want you to leave 나를 두고 가지 마 정말 끝이라고 내게 말하지 마 단 하루조차도 너 없인 살 수 없어 I want you back want you back in to my life I found the way to let you leave I never really had it coming I can't be in the sight of you I want you to stay away from my heart 하늘이 내게 내린 벌인가 아님 그리 쉽게 나를 버릴까 억지로 누군가를 사랑하며 또 살아갈까 별들 사이를 누비고 내 맘을 노래로 채우고 Don't leave let me freez 날 좀 도와줘 Help me please 죽을 때까지 기다릴거야 니가 아무리 뭐라 그래도 난 기다릴거야 내일 다시 올게 내일 다시 올게,"52,190",2010,"MC MONG, Mellow",Sick Enough to Die (Feat. Mellow),F# Major,2B,122,4:29,58.0,90.0,69.0,68.0,68.0,0.0,13.0,7.0,-5 dB,2010
3,포맨 (4MEN) 못해 (Feat. 美),못해 (Feat. 美),포맨 (4MEN),발라드,이제는 밥을 먹어도 눈물 없이는 삼키지 못해 억지로 먹고 먹어도 속이 늘 허전해 노랠 들어도 흥얼대지도 못해 영화를 봐도 내가 뭘 본 건 지 기억 못해 밥도 잘 먹지 못해 니가 생각날까봐 니 생각에 체할까봐 니가 떠난 후로 오늘도 눈물로 하루를 먹고 살아 버스도 타지 못해 누가 날 욕할까봐 우는 날 놀려댈까봐 아무 것도 못해 너 없인 나 혼자 살지 못해 이제는 술을 마셔도 눈물 없이는 마시지 못해 아무리 병을 비워도 너만 더 생각해 살아서 뭐해 넌 내 곁에 없는데 혼자 뭘 어째 아무것도 할 수 없는 난데 밥도 잘 먹지 못해 니가 생각날까봐 니 생각에 체할까봐 니가 떠난 후로 오늘도 눈물로 하루를 먹고 살아 버스도 타지 못해 누가 날 욕할까봐 우는 날 놀려댈까봐 아무것도 못해 너 없인 나 혼잔 살지 못해 너 없인 웃는 것도 난 못해 너 없인 걷는 것도 난 못해 아무 것도 아무 것도 못해 내겐 니 사랑이 필요해 혼자 살아서 뭐해 니가 더 잘 알잖아 너 없인 나 안 되잖아 너 밖에 몰라서 너 없인 밥조차 먹지 못하는 난데 차마 죽지도 못해 니가 돌아올까봐 언젠가 날 찾을까봐 아무 것도 못해 오늘도 내일도 너만 원해,"38,267",2010,SUPER JUNIOR,"놈, 놈, 놈 (You Got It) - sung by LEETEUK, HEECHUL, YESUNG, EUNHYUK, DONGHAE",Key,Camelot,BPM,Duration,19.0,86.0,65.0,76.0,7.0,0.0,10.0,36.0,-4 dB,2010
4,2am 죽어도 못 보내,죽어도 못 보내,2am,발라드,어려도 아픈건 똑같아 세상을 잘 모른다고 아픈걸 모르진 않아 괜찮아 질거라고 왜 거짓말을 해 이렇게 아픈 가슴이 어떻게 쉽게 낫겠어 너 없이 어떻게 살겠어 그래서 난 죽어도 못 보내 내가 어떻게 널 보내 가려거든 떠나려거든 내 가슴 고쳐내 아프지 않게 나 살아갈 수라도 있게 안 된다면 어차피 못살 거 죽어도 못 보내 아무리 니가 날 밀쳐도 끝까지 붙잡을 거야 어디도 가지 못하게 정말 갈거라면 거짓말을 해 내일 다시 만나자고 웃으면서 보자고 헤어지잔 말은 농담이라고 아니면 난 죽어도 못 보내 내가 어떻게 널 보내 가려거든 떠나려거든 내 가슴 고쳐내 아프지 않게 나 살아갈 수라도 있게 안 된다면 어차피 못살 거 죽어도 못 보내 그 많은 시간을 함께 겪었는데 이제와 어떻게 혼자 살란 거야 그렇겐 못해 난 못해 죽어도 못 보내 정말로 못 보내 내가 어떻게 널 보내 가려거든 떠나려거든 내 가슴 고쳐내 아프지 않게 나 살아갈 수라도 있게 안 된다면 어차피 못살 거 죽어도 못 보내,"8,485",2010,2AM,죽어도 못 보내,D Major,10B,137,3:16,50.0,77.0,57.0,54.0,21.0,0.0,15.0,3.0,-3 dB,2010
5,소녀시대 (GIRLS' GENERATION) Oh!,Oh!,소녀시대 (GIRLS' GENERATION),댄스,"전에 알던 내가 아냐 Brand new sound 새로워진 나와 함께 One more round Dance Dance Dance till we run this town 오빠 오빠 I'll be I'll be down down down down Hey 오빠 나 좀 봐 나를 좀 바라봐 (처음이야 이런 내 말투 ha!) 머리도 하고 화장도 했는데 (왜 너만 너만 모르니)  두근 두근 가슴이 떨려와요 자꾸 자꾸 상상만 하는걸요 어떻게 하나 콧대 높던 내가 말하고 싶어  Oh! Oh! Oh! 오빠를 사랑해 Ah! Ah! Ah! Ah! 많이 많이 해 수줍으니 제발 웃지마요 진심이니 놀리지도 말아요 또 바보 같은 말뿐야 Oh~  전에 알던 내가 아냐 Brand new sound 새로워진 나와 함께 One more round Dance Dance Dance till we run this town 오빠 오빠 I'll be I'll be down down down down  오빠 잠깐만 잠깐만 들어봐 (자꾸 딴 얘기는 말고) 동생으로만 생각하진 말아 (1년 뒤면 후회할 걸)  몰라 몰라 내 맘을 전혀 몰라 눈치 없게 장난만 치는걸요 어떻게 하나 이 철없는 사람아 들어봐 정말  Oh! Oh! Oh! 오빠를 사랑해 Ah! Ah! Ah! Ah! 많이 많이 해 수줍으니 제발 웃지마요 진심이니 놀리지도 말아요 또 그러면 나 울지도 몰라 Oh~  전에 알던 내가 아냐 Brand new sound 뭔가 다른 오늘만은 뜨거운 마음 다음 다음 미루지 마 화만 나 오빠 오빠 이대로는 No! No! No! No!  Tell me, boy, boy. Love it? it, it, it, it, it, it, Ah!  Oh! Oh! Oh! 오빠를 사랑해 Ah! Ah! Ah! Ah! 많이 많이 해 Oh! Oh! Oh! Oh! Oh! Oh! Oh! 오빠를 사랑해 Ah! Ah! Ah! Ah! Ah! Ah! Ah! Ah! 많이 많이 해 또 바보 같은 말뿐야 Oh~  Oh! Oh! Oh! Oh! Ah! Ah! Ah! Ah! Oh! Oh! Oh! Oh! Oh! Oh! Oh! 오빠를 사랑해 Ah! Ah! Ah! Ah! Ah! Ah! Ah! Ah! 많이 많이 해 Oh! Oh! Oh! Oh! Oh! Oh! Oh! 오빠를 사랑해 Ah! Ah! Ah! Ah! Ah! Ah! Ah! Ah! 많이 많이 Oh","76,941",2010,Girls' Generation,Gee,C# Minor,12A,100,3:21,69.0,93.0,76.0,74.0,28.0,0.0,11.0,3.0,-1 dB,2010
6,원더걸스 2 Different Tears,2 Different Tears,원더걸스,댄스,Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you So I love you So I hate you So I love you 난 너 없이 살아가는게 왜 아직도 이렇게 힘든지 더이상 부은 눈으로 눈뜨긴 싫어 이젠 잊고 싶어 그래서 니가 준 아픔 생각해 너 때문에 흘린 눈물 생각해 그런데 왜 자꾸만 행복했던 순간만 떠올리고 있는지 모르겠어 Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad 왜 아직도 너 땜에 눈물 흘리는지 내가 너무 싫어 얼마나 더 상처를 입어야 난 너를 미워할 수 있을까 그래서 니가 준 아픔 생각해 너 때문에 흘린 눈물 생각해 하지만 그럴수록 밀어내려 할 수록 니 모습은 더 가까이 다가와 Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad Why do I still feel this way when I know there's nothing Left to say 차라리 몰랐으면 좋을걸 지워버리고 싶어 널 내 자신에게 미워하라고 널 기억하라고 그 상철 But I for some reason why Still miss you no matter how hard I try Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad Gave me 2 different tears 너 때문에 난 기뻐서 울었고 슬퍼서 울었어 So I hate you but the love you gave me was so so good So I love you but the pain you gave me was so so bad,"25,674",2010,Wonder Girls,2 Different Tears,A♭ Minor,1A,124,3:24,34.0,70.0,80.0,75.0,10.0,0.0,9.0,4.0,-6 dB,2010
7,티아라 너 때문에 미쳐,너 때문에 미쳐,티아라,댄스,봐도 봐도 봐도 내가 봐도 봐도 보고싶어 너 땜에 온종일 미쳐 내 영혼마저 미쳐 꽂혀 꽂혀 꽂혀 내가 너에게로 꽂혀 꽂혀 끌리는 내 몸이 꽂혀 너 땜에 내가 미쳐 내 향기에 니 감각을 느껴봐 은근히 감싸는 너는 Sexy shadow 멀쩡하게 뛰고 있는 심장이 다 망가질듯이 너는 Make me crazy Oh oh oh oh oh oh oh oh 철없게 철없게 철없게 철없게 철없게 철없게 살다가 미쳐 Oh oh oh oh oh oh oh oh 철없게 철없게 철없게 철없게 철없게 살다가 내가 미쳐 Sexy shadow Make me crazy 돌아 돌아 돌아 내가 이러다가 내가 돌아 너 땜에 온종일 돌아 내 영혼마저 돌아 어질 어질 어질 눈이 내 머리가 아찔 아찔 끌리는 내몸이 미쳐 너 땜에 내가 미쳐 내 향기에 니 감각을 느껴봐 은근히 감싸는 너는 Sexy shadow 멀쩡하게 뛰고 있는 심장이 다 망가질듯이 너는 Make me crazy Oh oh oh oh oh oh oh oh 철없게 철없게 철없게 철없게 철없게 철없게 살다가 미쳐 Oh oh oh oh oh oh oh oh 철없게 철없게 철없게 철없게 철없게 살다가 내가 미쳐 내 향기에 니 감각을 느껴봐 은근히 감싸는 멀쩡하게 뛰고 있는 심장이 다 망가질듯이 Hey come on 오늘밤 꽂혀 버릴것 같어 나 미쳐 버릴것 같어 너와나 돌아돌아 따라라라 오늘밤 둘이서 Take it 쫄깃한 느낌을 Make it 유혹의 빠져봐 손발을 Do it 온몸을 던져 Like it Oh oh oh oh oh oh oh oh 철없게 철없게 철없게 철없게 철없게 철없게 살다가 미쳐 Oh oh oh oh oh oh oh oh 철없게 철없게 철없게 철없게 철없게 살다가 내가 미쳐 Oh oh oh oh oh oh oh oh 철없게 철없게 철없게 철없게 철없게 철없게 살다가 미쳐 Oh oh oh oh oh oh oh oh 철없게 철없게 철없게 철없게 철없게 살다가 내가 미쳐 Oh oh oh oh oh oh oh oh Oh oh,"17,361",2010,T-ARA,너 때문에 미쳐,B♭ Minor,3A,135,3:15,58.0,64.0,71.0,44.0,0.0,7.0,9.0,4.0,-7 dB,2010
8,"Homme (창민, 이현) 밥만 잘 먹더라",밥만 잘 먹더라,"Homme (창민, 이현)",발라드,사랑이 떠나가도 가슴에 멍이 들어도 한 순간뿐이더라 밥만 잘 먹더라 죽는 것도 아니더라 눈물은 묻어둬라 당분간은 일만 하자 죽을 만큼 사랑한 그녀를 알았단 그 사실에 감사하자 이미 지난 일 말하면 뭐해 돌릴 수 없는데 괜히 아픈 가슴만 다시 들춰내서 뭐해 쓸데 없게 태어나서 딱 세 번만 울게 허락된다는데 괜히 허튼 일들에 아까운 눈물 낭비 말자 오 사랑이 떠나가도 가슴에 멍이 들어도 한 순간뿐이더라 밥만 잘 먹더라 죽는 것도 아니더라 눈물은 묻어둬라 당분간은 일만 하자 죽을 만큼 사랑한 그녀를 알았단 그 사실에 감사하자 아주 가끔 니 생각이 나서 슬퍼지려 하면 친구들과 술 한잔 정신 없이 취하련다 다잊게 미워한다고 뭐 달라지나 그냥 사랑할게 단지 볼 수 없단 걸 견딜 만큼만 생각할게 오 사랑이 떠나가도 가슴에 멍이 들어도 한 순간뿐이더라 밥만 잘 먹더라 죽는 것도 아니더라 눈물은 묻어둬라 당분간은 일만 하자 죽을 만큼 사랑한 그녀를 알았단 그 사실에 감사하자 바람이 지나간다 시리게 나를 울린다 억지로 참아봐도 자꾸 목이 메어 니 이름을 불러본다 잊어도 못 잊겠다 너를 지울 수가 없다 남자답게 웃으며 보내야 하는데 자꾸만 난 울고 있다,"4,222",2010,Zion.T,Eat,E Major,12B,91,2:42,54.0,29.0,66.0,30.0,49.0,0.0,11.0,12.0,-11 dB,2010
9,2NE1 Go Away,Go Away,2NE1,댄스,너무 치사하잖아 너답지 못하잖아 지금 적응이 안돼 어 어 어지러워 왜 누가 누구랑 헤어져 네가 나랑 헤어져 잘 생각하고 말해 Yeah 날 따라다니던 남자 참 괜찮았던 남자 난 너 하나 때문에 다다다 보냈는데 누가 누구랑 헤어져 네가 나랑 헤어져 나 없이 잘 살아봐 yeah Tonight 하필 또 비는 내려 왜 내 모습 초라해지게 날 위로 하지는 마 이 손 치워 이제 남이니까 내 걱정 말고 Go Away 집착 없이 사라져 줄게 매달릴 줄 알았겠지 역겨워 착각하지마 더 멋진 사람 만날게 널 후회하게 만들어 줄게 슬픔은 지금 뿐야 boy Cause love is over Love love is over tonight Just say what you gotta say 어쩜 끝까지 멋없니 Fiance Beyonce I'm walkin' out of destiny 초라한 홀로가 아닌 화려한 솔로 That's my way 모든걸 다 줬으니 오히려 난 후회 안 해 지가 더 슬픈 척 끝까지 멋있는 척 All you do is act a fool You ain't shit without your crew 시간 없어 I gotta go 안녕 good bye adios 네 못난 얼굴 다신 보고 싶진 않아 no more Tonight 하필 또 비는 내려 왜 내 모습 초라해지게 날 위로 하지는 마 이 손 치워 이제 남이니까 내 걱정 말고 Go Away 집착 없이 사라져 줄게 매달릴 줄 알았겠지 역겨워 착각하지마 더 멋진 사람 만날게 널 후회하게 만들어 줄게 슬픔은 지금 뿐야 boy Cause love is over Love love is over tonight  내 걱정 말고 Go Away 집착 없이 사라져 줄게 매달릴 줄 알았겠지 역겨워 착각하지마 더 멋진 사람 만날게 널 후회하게 만들어 줄게 슬픔은 지금 뿐야 boy Cause love is over Love love is over tonight,"48,172",2010,2NE1,Go Away,B Major,1B,128,3:39,57.0,80.0,73.0,57.0,5.0,0.0,4.0,4.0,-2 dB,2010
