,artist_song,song_x,artist_x,genre,lyric,like,year_x,artist_y,song_y,key,camelot,bpm,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,year_y
10,멜로망스 You,You,멜로망스,발라드,어떻게 난 해야 해 니가 떠난다고 말하면 난 혼자 남겨지는 게 더 두려울 텐데 이유를 말해준다면 조금 편할 것 같아 아주 작은 손짓조차도 내겐 소중한 너를 잊을 수 없는 슬픈 기억 속으로 보내 잠 못 이루겠지 YOU 비가 오는 거리에 혼자 버려진 채로 서 있는 날 생각해 봤니 혼자 있는 밤이면 니가 잠이 들던 자리엔 슬피 우는 나의 눈물로 모두 젖어 들 거야 모두가 말했었어 둘이 잘 어울린다고 그럴 땐 넌 내 품에 기대어왔어 이젠 눈을 감으면 꿈속에서 널 만나 긴 밤을 지내다 널 아침이 되면 난 잠에서 깨어 다시 보내고 난 후 아파 눈물 흘리겠지 YOU 비가 오는 거리에 혼자 버려진 채로 서 있는 날 생각해 봤니 혼자 있는 밤이면 니가 잠이 들던 자리에 슬피 우는 나의 눈물로 모두 젖어 들 거야 YOU 비가 오는 거리에 혼자 버려진 채로 서 있는 날 생각해봤니 혼자 있는 밤이면 니가 잠이 들던 자리에 슬피 우는 나의 눈물로 모두 젖어 들 거야,"88,639",2018,MeloMance,You&I,A♭ Major,4B,85.0,3:41,41.0,43.0,52.0,33.0,67.0,0.0,19.0,3.0,-6 dB,2018
11,마마무 (Mamamoo) 별이 빛나는 밤,별이 빛나는 밤,마마무 (Mamamoo),댄스,손끝이 시리더니 벌써 봄이 왔네 꿈같은 바람이 불어 곳곳에 여느 때 와는 다른 듯한 이 기분이 반가워 내일은 좀 다른 날이 되려나 어둠의 그림자 깊은 이 밤에 남겨진 달이 달이 밝아와 빛을 그리고 있어 내 몸에서 널 뺀 만큼 욕조에 물이 미련이 되어 넘쳐흘러 한숨이 가득 그 공간을 채워 새벽이 찾아오면 혼자 남겨질 때면 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤 겨울이 지나고 또다시 꽃은 피고 따뜻한 공기 냄새가 날 감싸 달라진 거 없는 똑같은 일상이 반복돼 그래도 내일을 기다려봐 하루에 끝에서 이 자리에 남아서 날이 날이 새도록 너를 그리고 있어 Do you want me to leave No 난 그 자리 그대로 까만 밤하늘에 가려 잠시 보이지 않는 거야 새벽이 찾아오면 혼자 남겨질 때면 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤 Starry Starry Night 네가 없는 밤 가슴이 공허해 우리의 풍경이 저물어가 현실을 부정해 눈을 감아도 네가 보여 왜 아른거려 Leave me alone 무너져 가네 Starry night 별이 빛나는 밤 네가 휘휘휘 불어와 너와 나 나눈 수많은 밤 나를 취하게 만들어 별이 빛나는 밤 야야야야이야 별이 빛나는 밤 야야야야야야야 별이 빛나는 밤,"178,266",2018,MAMAMOO,Starry Night,A Minor,8A,124.0,3:31,56.0,77.0,58.0,51.0,66.0,0.0,11.0,5.0,-3 dB,2018
12,로꼬 주지마,주지마,로꼬,발라드,위험해 아슬아슬해 간신히 끈을 잡았는데 넌 가위질을 하려고 해 너의 호의는 필요 없어 인내심이 많지 않아 내겐 유혹으로밖에 안 보여 오지마 내게 오지마 선 넘지마 please 주지마 술은 주지마 취하면 너 어떻게 해볼라니까 넌 내게 술을 권하지마 후회할 걸 알아 넌 내게 용기를 주지마 오늘뿐인 걸 알고 있어 내게 진심을 바라면 그 술은 절대 주지마 헛소릴 하고 악마의 춤을 출거니까 마치 밖엔 시원한 바람이 불지만 세상이 너무 험해서 널 내 옆에만 둘 거니까 남자는 전부 똑같대 아니 술 마신 남잔 다 똑같애 너 말곤 아무것도 안 보인다는 건 니가 아닌 다른 것들은 다 잊고 있는 거야 그러니까 내게 술을 주지마 맨 정신에도 충분히 외로우니까 가위질을 하게 날 내버려 두지마 사랑 찍고 본능 알기 전에 너부터 먼저 알고 싶으니까 야 이성적이고 싶어 이게 나잇값이라는데 싸게 주고 싶어 굳이 움직이지 않아도 돼 내가 하는 말이 수작이 되지 않게 기분 좋게 우리 물 잔으로 짠 해 넌 내게 술을 권하지마 후회할 걸 알아 넌 내게 용기를 주지마 오늘뿐인 걸 알고 있어 한잔 두잔 비워내기 싫어 더 이상 내게 높은 기분을 주지마 한잔 두잔 비워내기 싫어 자꾸 건배하듯이 눈을 맞추지마 한잔 두잔 비워내기 싫어 한잔 두잔 비워내기 싫어 I DON’T CARE WHO YOU ARE DON’T MAKE ME CRY I DON’T CARE WHO YOU ARE I DON’T CARE WHO YOU ARE DON’T LET ME LIE I DON’T CARE WHO YOU ARE I DON’T CARE WHO YOU ARE DON’T MAKE ME CRY I DON’T CARE WHO YOU ARE I DON’T CARE WHO YOU ARE DON’T LET ME LIE I DON’T CARE WHO YOU ARE,"107,833",2018,"Loco, HWASA",Don’t,C# Major,3B,92.0,3:52,59.0,49.0,85.0,55.0,54.0,0.0,13.0,7.0,-7 dB,2018
13,청하 Roller Coaster,Roller Coaster,청하,댄스,I remember very first time in love I remember oh oh I remember oh oh 너도 같은 기분일까 so I'm in love I remember oh oh I remember oh 어머 이래도 되는지 싶어 aha 그래 너 때문에 매일 즐거워 조금 서두르는 것 같아도 baby I need your love oh oh I need your love oh oh oh 심장이 훅 내려앉게 달콤해 가끔은 상처받을까 걱정돼 처음부터 모든 걸 알 순 없겠지 하지만 난 다 던져볼래 자꾸 아찔한 이 느낌 위험한 이 느낌 내 손을 꼭 잡아줘 I want you 흔들리지 않게 조금 더 뜨겁게 나를 꼭 더 안아줘 넌 롤러코스터 ooh ahh 롤러코스터 uh woh ahh I need your love ooh ahh baby your love uh woh ahh 빤히 바라볼 때 가슴이 떨려 아닌 척 해봐도 뻔히 다 걸려 내가 먼저 말하지 않아도 이미 다 알아 넌 내 맘과 같아 aha 너무 빠른 건 아닐까 싶어 aha 근데 너 때문에 매일 새로워 조금 서툴러도 눈 감아줘 baby I need your love oh oh I need your love oh oh oh 시간이 멈춘 것처럼 달콤해 갑자기 날 떠날까 봐 걱정돼 처음부터 모든 걸 알 순 없겠지 하지만 난 다 던져볼래 자꾸 아찔한 이 느낌 위험한 이 느낌 내 손을 꼭 잡아줘 I want you 흔들리지 않게 조금 더 뜨겁게 나를 꼭 더 안아줘 넌 롤러코스터 ooh ahh 롤러코스터 uh woh ahh I need your love ooh ahh Baby your love uh woh ahh 어쩌다 찾아온 내 사랑 I love you I love you 모든 게 꿈이 아니기를 I love you I love you Look 넌 롤러코스터 ooh ahh 넌 롤러코스터 baby 롤러코스터 uh woh ahh 롤러코스터 baby I need your love ooh ahh baby I need you love baby your love uh woh ahh 롤러코스터 롤러코스터,"90,064",2018,CHUNG HA,Roller Coaster,F# Minor,11A,130.0,3:32,60.0,91.0,63.0,74.0,32.0,0.0,22.0,5.0,-1 dB,2018
14,이수 (엠씨더맥스) My Way,My Way,이수 (엠씨더맥스),"발라드, 국내드라마",흐르는 물결이 내 발목에 감겨 나가면 깊은 곳에 숨겨둔 아픈 기억 모두 살아나고 어디에 기대 살아갈까 나를 스쳐가는 그 모든 것들이 상처인데 그댈 그린 밤들이 내게 욕심이란 걸 맘 아프게 알아 나를 택한 운명이 행여 그댈 맴돌아 붙잡지 못하게 이제 그대 곁에서 떠나가 내뱉는 숨마다 가시 돋친 고통이어서 깊은 곳에 숨겨둔 사랑 또한 그저 지워 내고 어디에 기대 살아갈까 나를 스쳐가는 그 모든 것들이 상처인데 그댈 그린 밤들이 내게 사치라는 걸 맘 아프게 알아 나를 택한 운명이 행여 그댈 맴돌아 붙잡지 못하게 이제 그대 곁에서 떠나가 언젠가 그대 곁에 다시 돌아갈 수 있다면 그때가 언제라도 나를 잊지 않았다면 그댈 그린 날들이 내게 마지막 남은 기쁨이었단 걸 내가 택한 운명이 다른 무엇이 아닌 그대뿐이라는 걸 이제 그대 곁에서 영원히,"23,582",2018,Drake,NOKIA,F Major,7B,106.0,4:01,94.0,73.0,54.0,51.0,25.0,0.0,17.0,15.0,-4 dB,2018
15,방탄소년단 DNA,DNA,방탄소년단,랩/힙합,첫눈에 널 알아보게 됐어 서롤 불러왔던 것처럼 내 혈관 속 DNA가 말해줘 내가 찾아 헤매던 너라는 걸 우리 만남은 수학의 공식 종교의 율법 우주의 섭리 내게 주어진 운명의 증거 너는 내 꿈의 출처 Take it take it 너에게 내민 내 손은 정해진 숙명 걱정하지 마 love 이 모든 건 우연이 아니니까 우린 완전 달라 baby 운명을 찾아낸 둘이니까 우주가 생긴 그 날부터 계속 무한의 세기를 넘어서 계속 우린 전생에도 아마 다음 생에도 영원히 함께니까 이 모든 건 우연이 아니니까 운명을 찾아낸 둘이니까 DNA I want it this love I want it real love 난 너에게만 집중해 좀 더 세게 날 이끄네 태초의 DNA 가 널 원하는데 이건 필연이야 I love us 우리만이 true lovers 그녀를 볼 때마다 소스라치게 놀라 신기하게 자꾸만 숨이 멎는 게 참 이상해 설마 이런 게 말로만 듣던 사랑이란 감정일까 애초부터 내 심장은 널 향해 뛰니까 걱정하지 마 love 이 모든 건 우연이 아니니까 우린 완전 달라 baby 운명을 찾아낸 둘이니까 우주가 생긴 그 날부터 계속 무한의 세기를 넘어서 계속 우린 전생에도 아마 다음 생에도 영원히 함께니까 이 모든 건 우연이 아니니까 운명을 찾아낸 둘이니까 DNA 돌아보지 말아 운명을 찾아낸 우리니까 후회하지 말아 baby 영원히 영원히 영원히 영원히 함께니까 걱정하지 마 love 이 모든 건 우연이 아니니까 우린 완전 달라 baby 운명을 찾아낸 둘이니까 La la la la la La la la la la 우연이 아니니까 La la la la la La la la la la 우연이 아니니까 DNA,"622,383",2018,BTS,DNA,C# Minor,12A,130.0,3:43,74.0,78.0,60.0,70.0,2.0,0.0,7.0,5.0,-4 dB,2018
16,먼데이 키즈 (Monday Kiz) 가을 안부,가을 안부,먼데이 키즈 (Monday Kiz),발라드,어떠니 잘 지냈니 지난 여름 유난히도 힘에 겹더라 올핸 새벽녘엔 제법 쌀쌀한 바람이 어느덧 니가 좋아하던 그 가을이 와 사랑도 그러게 별수없나 봐 언제 그랬냐는 듯 계절처럼 변해가 그리워져 미치도록 사랑한 그날들이 내 잃어버린 날들이 참 많이 웃고 울었던 그때 그 시절의 우리 니가 떠올라 밤새 참 아프다 니가 너무 아프다 너를 닮은 이 시린 가을이 오면 보고 싶어서 너를 안고 싶어서 가슴이 너를 앓는다 어떠니 넌 괜찮니 지금쯤은 나를 잊고 편안해졌니 이젠 우습지 잘살길 바라면서도 막상 날 잊었을 널 떠올리면 서글퍼 그리워져 미치도록 사랑한 그날들이 내 잃어버린 날들이 참 많이 웃고 울었던 그때 그 시절의 우리 니가 떠올라 밤새 참 아프다 니가 너무 아프다 너를 닮은 이 시린 가을이 오면 보고 싶어서 너를 안고 싶어서 가슴이 너를 앓는다 너라는 계절 안에 살아 여전히 너를 꿈꾸며 고마워져 그 날들이 내 지나버린 날들이 추억은 짐이 아니라 살게 하는 힘이란 걸 가르쳐준 너니까 또 설렌다 아프도록 설렌다 너를 닮은 눈부신 가을이 오면 니가 떠올라 그리움이 차올라 눈물로 너를 앓는다 밤새 또 너를 앓는다,"36,997",2018,Monday Kiz,When Autumn Comes,F# Major,2B,131.0,5:03,44.0,54.0,32.0,23.0,50.0,0.0,15.0,3.0,-6 dB,2018
17,방탄소년단 FAKE LOVE,FAKE LOVE,방탄소년단,랩/힙합,널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어 I'm so sick of this Fake Love Fake Love Fake Love I'm so sorry but it's Fake Love Fake Love Fake Love I wanna be a good man just for you 세상을 줬네 just for you 전부 바꿨어 just for you Now I dunno me who are you 우리만의 숲 너는 없었어 내가 왔던 route 잊어버렸어 나도 내가 누구였는지도 잘 모르게 됐어 거울에다 지껄여봐 너는 대체 누구니 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어 Love you so bad Love you so bad 널 위해 예쁜 거짓을 빚어내 Love it’s so mad Love it’s so mad 날 지워 너의 인형이 되려 해 Love you so bad Love you so bad 널 위해 예쁜 거짓을 빚어내 Love it’s so mad Love it’s so mad 날 지워 너의 인형이 되려 해 I'm so sick of this Fake Love Fake Love Fake Love I'm so sorry but it's Fake Love Fake Love Fake Love Why you sad I don't know 난 몰라 웃어봐 사랑해 말해봐 나를 봐 나조차도 버린 나 너조차 이해할 수 없는 나 낯설다 하네 니가 좋아하던 나로 변한 내가 아니라 하네 예전에 니가 잘 알고 있던 내가 아니긴 뭐가 아냐 난 눈 멀었어 사랑은 뭐가 사랑 It's all fake love Woo I dunno I dunno I dunno why Woo 나도 날 나도 날 모르겠어 Woo I just know I just know I just know why Cuz it’s all Fake Love Fake Love Fake Love Love you so bad Love you so bad 널 위해 예쁜 거짓을 빚어내 Love it’s so mad Love it’s so mad 날 지워 너의 인형이 되려 해 Love you so bad Love you so bad 널 위해 예쁜 거짓을 빚어내 Love it’s so mad Love it’s so mad 날 지워 너의 인형이 되려 해 I'm so sick of this Fake Love Fake Love Fake Love I'm so sorry but it's Fake Love Fake Love Fake Love 널 위해서라면 난 슬퍼도 기쁜 척 할 수가 있었어 널 위해서라면 난 아파도 강한 척 할 수가 있었어 사랑이 사랑만으로 완벽하길 내 모든 약점들은 다 숨겨지길 이뤄지지 않는 꿈속에서 피울 수 없는 꽃을 키웠어,"622,383",2018,BTS,FAKE LOVE,D Minor,7A,78.0,4:02,81.0,72.0,56.0,35.0,0.0,0.0,31.0,4.0,-5 dB,2018
18,방탄소년단 봄날,봄날,방탄소년단,랩/힙합,보고 싶다 이렇게 말하니까 더 보고 싶다 너희 사진을 보고 있어도 보고 싶다 너무 야속한 시간 나는 우리가 밉다 이젠 얼굴 한번 보는 것 조차 힘들어진 우리가 여긴 온통 겨울 뿐이야 8월에도 겨울이 와 마음은 시간을 달려가네 홀로 남은 설국열차 니 손 잡고 지구 반대편까지 가 겨울을 끝내고파 그리움들이 얼마나 눈처럼 내려야 그 봄날이 올까 Friend 허공을 떠도는 작은 먼지처럼 작은 먼지처럼 날리는 눈이 나라면 조금 더 빨리 네게 닿을 수 있을 텐데 눈꽃이 떨어져요 또 조금씩 멀어져요 보고 싶다 보고 싶다 보고 싶다 보고 싶다 얼마나 기다려야 또 몇 밤을 더 새워야 널 보게 될까 널 보게 될까 만나게 될까 만나게 될까 추운 겨울 끝을 지나 다시 봄날이 올 때까지 꽃 피울 때까지 그곳에 좀 더 머물러줘 머물러줘 니가 변한 건지 니가 변한 건지 아니면 내가 변한 건지 내가 변한 건지 이 순간 흐르는 시간조차 미워 우리가 변한 거지 뭐 모두가 그런 거지 뭐 그래 밉다 니가 넌 떠났지만 단 하루도 너를 잊은 적이 없었지 난 솔직히 보고 싶은데 이만 너를 지울게 그게 널 원망하기보단 덜 아프니까 시린 널 불어내 본다 연기처럼 하얀 연기처럼 말로는 지운다 해도 사실 난 아직 널 보내지 못하는데 눈꽃이 떨어져요 또 조금씩 멀어져요 보고 싶다 보고 싶다 보고 싶다 보고 싶다 얼마나 기다려야 또 몇 밤을 더 새워야 널 보게 될까 널 보게 될까 만나게 될까 만나게 될까 You know it all You're my best friend 아침은 다시 올 거야 어떤 어둠도 어떤 계절도 영원할 순 없으니까 벚꽃이 피나봐요 이 겨울도 끝이 나요 보고 싶다 보고 싶다 보고 싶다 보고 싶다 조금만 기다리면 며칠 밤만 더 새우면 만나러 갈게 만나러 갈게 데리러 갈게 데리러 갈게 추운 겨울 끝을 지나 다시 봄날이 올 때까지 꽃 피울 때까지 그곳에 좀 더 머물러줘 머물러줘,"622,383",2018,BTS,Take Two,G Major,9B,93.0,3:50,71.0,59.0,62.0,57.0,3.0,0.0,38.0,3.0,-6 dB,2018
19,TWICE (트와이스) Dance The Night Away,Dance The Night Away,TWICE (트와이스),댄스,라라라라라라라 라라라라라라라 You and me in the moonlight 별 꽃 축제 열린 밤 파도 소리를 틀고 춤을 추는 이 순간 이 느낌 정말 딱야 바다야 우리와 같이 놀아 바람아 너도 이쪽으로 와 달빛 조명 아래서 너와 나와 세상과 다 같이 Party all night long yeah it’s good If you wanna have some fun 짭짤한 공기처럼 이 순간의 특별한 행복을 놓치지마 One two three let’s go 저 우주 위로 날아갈 듯 춤추러 가 Hey Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away Dance the night away Let’s dance the night away Dance the night away Let’s dance the night away You and me in this cool night 미소 짓는 반쪽 달 그 언젠가 너와 나 저 달 뒷면으로 가 파티를 열기로 약속 yeah it’s good If you wanna have some fun 은빛 모래알처럼 이 순간의 특별한 행복을 놓치지 마 One two three let’s go 저 우주 위로 날아갈 듯 춤추러 가 Hey Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away 오늘이 마지막인 듯 소리 질러 저 멀리 끝없이 날아오를 듯 힘껏 뛰어 더 높이 오늘이 마지막인 듯 소리 질러 저 멀리 쏟아지는 별빛과 Let’s dance the night away Let’s dance the night away One two three let’s go 저 바다 건너 들릴 듯 소리 질러 let’s dance the night away Let’s dance the night away Dance the night away Dance the night away Dance the night away Let’s dance the night away,"172,688",2018,TWICE,Dance The Night Away,C Major,8B,118.0,3:01,68.0,86.0,71.0,78.0,11.0,0.0,11.0,9.0,-3 dB,2018
20,BIGBANG (빅뱅) 꽃 길,꽃 길,BIGBANG (빅뱅),R&B/Soul,그땐 참 좋았는데 말이야 너와 함께할 수만 있다면 때론 외롭고 슬퍼도 말이야 너와 같이 할 수만 있다면 Sing it na na na 노래해 나나나 우리 이게 마지막이 아니야 부디 또 만나요 꽃이 피면 때론 꽤 별난 일이 많아 넌 나 같이 못난 놈을 만나 다시 누군갈 사랑할 수 있을까 너 아니라면 그럴 일은 없을 것 같아 나 의식 없이 발길 흐름대로 가던 길 날 화려히 비춰주던 네 빛 한줄기 그 전율이 느껴지는 예쁜 꽃 길 그곳에 너로 인해 설수 있던 Roly poly toy 떠나려거든 보내 드리오리다 님이 가시는 길에 꽃을 뿌리오리다 그리워지면 돌아와 줘요 그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가 그 자리 그곳에서 날 기다려요 그땐 참 좋았는데 말이야 너와 함께할 수만 있다면 때론 외롭고 슬퍼도 말이야 너와 같이 할 수만 있다면 많이 울기도 했지만 웃은 일도 많아 내 머릿속 안에는 추억이 너무 많아 이 또한 지나갈 테니까 이 다음에 만나요 꽃이 피면 1년 365 이 세상 하나뿐인 넌 내 음악의 Motive 날 일깨워주는 은인 네 커다란 꽃밭에 기대어 막 떠오르던 가사말 아직도 참 생생해 빠담빠담 너란 만개 한 꽃의 색은 100000 개 무한대 거대한 울림 Vivaldi의 사계 아직도 그댄 내 맘에 담을 수 없는 그림 내 눈을 의심하지 You are my Magical Queen 떠나려거든 보내 드리오리다 님이 가시는 길에 꽃을 뿌리오리다 그리워지면 돌아와 줘요 그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가 그 자리 그곳에서 날 기다려요 꽃 잎 따다 입을 맞추죠 얼굴은 빨개지고 꽃 길을 깔아 준비를 하죠 그대가 오시는 길 그리워지면 돌아와 줘요 그때 또 다시 날 사랑해줘요 이 꽃 길 따라 잠시 쉬어가다가 그 자리 그곳에서 날 기다려요 꽃 잎 따다 입을 맞추죠 얼굴은 빨개지고 꽃 길을 깔아 준비를 하죠 그 자리 그곳에서 날 기다려요,"247,555",2018,BIGBANG,FLOWER ROAD,C# Minor,12A,95.0,3:49,60.0,65.0,71.0,62.0,12.0,0.0,15.0,9.0,-5 dB,2018
21,아이유 밤편지,밤편지,아이유,발라드,이 밤 그날의 반딧불을 당신의 창 가까이 보낼게요 음 사랑한다는 말이에요 나 우리의 첫 입맞춤을 떠올려 그럼 언제든 눈을 감고 음 가장 먼 곳으로 가요 난 파도가 머물던 모래 위에 적힌 글씨처럼 그대가 멀리 사라져 버릴 것 같아 늘 그리워 그리워 여기 내 마음속에 모든 말을 다 꺼내어 줄 순 없지만 사랑한다는 말이에요 어떻게 나에게 그대란 행운이 온 걸까 지금 우리 함께 있다면 아 얼마나 좋을까요 난 파도가 머물던 모래 위에 적힌 글씨처럼 그대가 멀리 사라져 버릴 것 같아 또 그리워 더 그리워 나의 일기장 안에 모든 말을 다 꺼내어 줄 순 없지만 사랑한다는 말 이 밤 그날의 반딧불을 당신의 창 가까이 띄울게요 음 좋은 꿈 이길 바라요,"725,841",2018,IU,Through the Night,A♭ Major,4B,79.0,4:13,63.0,31.0,43.0,28.0,76.0,0.0,31.0,4.0,-7 dB,2018
22,벤 열애중,열애중,벤,발라드,아직 이별 중인 나에겐 끝이 아닌 것만 같아서 다른 사랑 중인 너지만 나는 아직 너와 열애 중 나도 너만큼만 헤어지고 싶어 아니 너보다 더 행복하고 싶어 너는 어떻게 날 잊었는지 가르쳐줘 아직 이별 중인 나에게 난 아직 열애 중 누구보다 뜨겁게 사랑해 열애 중 헤어져도 헤어진 적 없어 언젠가 내가 너와 이별할 수 있을까 너만 모르게 나는 아직 너와 열애 중 매일 이별하고 있지만 아직 너를 기다리는 중 나도 너만큼만 못돼지고 싶어 아니 너보다 더 나빠지고 싶어 너는 어떻게 날 잊었는지 가르쳐줘 아직 이별 중인 나에게 난 아직 열애 중 누구보다 뜨겁게 사랑해 열애 중 헤어져도 헤어진 적 없어 언젠가 내가 너와 이별할 수 있을까 아무도 모르게 여기서 널 멈추면 정말 이별이 될까 봐 그게 마지막이 될까 봐 널 후회하는 중 누구보다 너를 많이 원망하는 중 미워해도 미워한 적 없어 언젠가 내가 너를 잊고 살 수 있을까 너만 모르게 나는 아직 너와 열애 중,"74,548",2018,BEN,"Love, ing",B♭ Minor,3A,134.0,4:31,36.0,41.0,42.0,23.0,68.0,0.0,10.0,4.0,-5 dB,2018
23,양다일 미안해,미안해,양다일,R&B/Soul,습관처럼 떠오르던 눈에 아른거리던 네 모습이 더는 그려지지 않아 거짓뿐이었던 너의 말과 너도 모르는 너의 모습들을 더는 원치 않아 단 한 번뿐인 이별에도 말하지 못한 너의 진심을 이젠 다 알 것 같은데 미안해 더는 널 바라보지 않아 미안해 더는 나 후회하지 않아 다시 널 마주할 그 순간에도 널 사랑하지 않아 말할 수 있어 수화기 너머 들리는 지친 날 위로하던 네 목소리 더는 그려지지 않아 함께 쌓았던 추억과 그 많던 말들이 아쉬워서 전하지 못한 말들이 미안해 더는 널 바라보지 않아 미안해 더는 나 후회하지 않아 다시 널 마주할 그 순간에도 널 사랑하지 않아 말할 수 있어 어색하게 만난 우리 시작도 처음 고백했던 그 순간들도 다 어제 같은 일인데 누굴 만나 사랑한다는 게 너를 만나 내가 변해간단 게 이젠 없어 미안해 더는 널 사랑하지 않아 미안해 더는 나 후회하지 않아 힘든 시간들에 지쳐갈 때도 이렇게 해야만 내가 편할 것 같아,"59,241",2018,Yang Da Il,lie,B♭ Major,6B,137.0,3:49,42.0,46.0,39.0,20.0,56.0,0.0,11.0,3.0,-6 dB,2018
24,문문 (MoonMoon) 비행운,비행운,문문 (MoonMoon),"인디음악, 록/메탈",매일매일이 잿빛이더라구 팽이돌듯이 빙빙 돌더라구 어른이 라는 따분한 벌레들이 야금야금 꿈을 좀 먹더라구 나는 자라 겨우 내가 되겠지 뿔이 자라난 어른이 될테니 억지로 라도 웃어야지 하는데 그럼에도 좀 울적하더라구 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 나는 자라 겨우 내가 되겠지 뿔이 자라난 어른이 될 테니 억지로 라도 웃어야지 하는데 그럼에도 좀 울적 하더라구 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 어제와 오늘의 온도가 너무 달라서 비행운이 만들어졌네 내가 머물기에 여기는 너무 높아서 한숨자국만 깊게 드러났네 꼬마가 간직했던 꿈은 무엇일까 오래된 일기장을 꺼내봤네 1996년 7월 20일에 우주 비행사라고 적어놨네,"21,596",2018,MoonMoon,비행운,G Minor,6A,102.0,2:59,46.0,39.0,84.0,75.0,83.0,0.0,23.0,3.0,-6 dB,2018
25,TWICE (트와이스) What is Love?,What is Love?,TWICE (트와이스),댄스,매일같이 영화 속에서나 책 속에서나 드라마 속에서 사랑을 느껴 Um 사랑을 배워 내 일처럼 자꾸 가슴이 뛰어 두근두근거려 설레임에 부풀어 올라 Um 궁금해서 미칠 것만 같아 Ooh 언젠간 내게도 이런 일이 실제로 일어날까 그게 언제쯤일까 어떤 사람일까 I wanna know 사탕처럼 달콤하다는데 I wanna know 하늘을 나는 것 같다는데 I wanna know know know know What is love 사랑이 어떤 느낌인지 I wanna know 하루 종일 웃고 있다는데 I wanna know 세상이 다 아름답다는데 I wanna know know know know What is love 언젠간 나에게도 사랑이 올까 지금 이런 상상만으로도 떠올려만 봐도 가슴이 터질 것 같은데 Um 이렇게 좋은데 만일 언젠가 진짜로 내게 사랑이 올 때 난 울어버릴지도 몰라 Um 정말 궁금해 미칠 것만 같아 Ooh 언젠간 내게도 이런 일이 실제로 일어날까 그게 언제쯤일까 어떤 사람일까 I wanna know 사탕처럼 달콤하다는데 I wanna know 하늘을 나는 것 같다는데 I wanna know know know know What is love 사랑이 어떤 느낌인지 I wanna know 하루 종일 웃고 있다는데 I wanna know 세상이 다 아름답다는데 I wanna know know know know What is love 언젠간 나에게도 사랑이 올까 지금 세상 어느 곳에 살고 있는지 도대체 언제쯤 나와 만나게 될는지 언제 어떻게 우리의 인연은 시작될는지 모르지만 느낌이 어쩐지 진짜 좋을 것 같아 왠지 영화 드라마보다도 더 멋진 사랑이 올 거야 내 예감 언제나 맞지 어서 나타나봐 나는 다 준비가 됐지 Ready 어디 있을까 찾아낼 거야 어디 있을까 보고 싶어 죽겠어 더 이상 참을 수 없을 것만 같아 사탕처럼 달콤하다는데 하늘을 나는 것 같다는데 I wanna know know know know What is love 사랑이 어떤 느낌인지 하루 종일 웃고 있다는데 세상이 다 아름답다는데 I wanna know know know know What is love 언젠간 나에게도 사랑이 올까 I wanna know I wanna know I wanna know know know know What is love I wanna know I wanna know I wanna know I wanna know I wanna know know know know What is love I wanna know,"172,688",2018,TWICE,What is Love?,A♭ Major,4B,170.0,3:28,76.0,91.0,57.0,57.0,10.0,0.0,26.0,7.0,-2 dB,2018
