,artist_song,song_x,artist_x,genre,lyric,like,year_x,artist_y,song_y,key,camelot,bpm,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,year_y
0,소유 (SOYOU) 썸 (Feat. 릴보이 Of 긱스),썸 (Feat. 릴보이 Of 긱스),소유 (SOYOU),R&B/Soul,가끔씩 나도 모르게 짜증이나 너를 향한 맘은 변하지 않았는데 혹시 내가 이상한 걸까 혼자 힘들게 지내고 있었어 텅 빈 방 혼자 멍하니 뒤척이다 티비에는 어제 본 것 같은 드라마 잠이 들 때까지 한번도 울리지 않는 핸드폰을 들고 요즘 따라 내꺼인 듯 내꺼 아닌 내꺼 같은 너 니꺼인 듯 니꺼 아닌 니꺼 같은 나 이게 무슨 사이인 건지 사실 헷갈려 무뚝뚝하게 굴지마 연인인 듯 연인 아닌 연인 같은 너 나만 볼 듯 애매하게 날 대하는 너 때로는 친구 같다는 말이 괜히 요즘 난 듣기 싫어 졌어 매일 아침 너의 문자에 눈을 뜨고 하루 끝에는 니 목소리에 잠들고 파 주말에는 많은 사람 속에서 보란 듯이 널 끌어 안고 싶어 요즘 따라 내꺼인 듯 내꺼 아닌 내꺼 같은 너 니꺼인 듯 니꺼 아닌 니꺼 같은 나 때로는 친구 같다는 말이 괜히 요즘 난 듣기 싫어 졌어 너 요즘 너 별로야 너 별로야 나 근데 난 너뿐이야 난 너뿐이야 분명하게 내게 선을 그어줘 자꾸 뒤로 빼지 말고 날 사랑한다 고백해 줘 여전히 친구인척 또 연인인척 행동하는 모습을 전부다 돌이켜 생각 할 수록 너의 진심이 더 궁금해지는 걸 girl you’re so ambiguous 난 못해 무엇도 아니 어쩌면 기적을 바라지 lotto 확실한 표현을 원하지만 너의 미소 띈 표정에 잊어버리지 난 요즘 따라 내꺼인 듯 내꺼 아닌 내꺼 같은 너 니꺼인 듯 니꺼 아닌 니꺼 같은 나 순진한 척 웃지만 말고 그만 좀 해 너 솔직하게 좀 굴어봐 니 맘 속에 날 놔두고 한 눈 팔지 마 너야말로 다 알면서 딴청 피우지 마 피곤하게 힘 빼지 말고 어서 말해줘 사랑한단 말이야,"23,322",2014,"So!YoON!, RM",Smoke Sprite (feat. RM),A Minor,8A,132.0,4:02,54.0,69.0,61.0,57.0,15.0,0.0,17.0,4.0,-3 dB,2014
1,박효신 야생화,야생화,박효신,발라드,하얗게 피어난 얼음 꽃 하나가 달가운 바람에 얼굴을 내밀어 아무 말 못했던 이름도 몰랐던 지나간 날들에 눈물이 흘러 차가운 바람에 숨어 있다 한줄기 햇살에 몸 녹이다 그렇게 너는 또 한번 내게 온다 좋았던 기억만 그리운 마음만 니가 떠나간 그 길 위에 이렇게 남아 서있다 잊혀질 만큼만 괜찮을 만큼만 눈물 머금고 기다린 떨림 끝에 다시 나를 피우리라 사랑은 피고 또 지는 타버리는 불꽃 빗물에 젖을까 두 눈을 감는다 어리고 작았던 나의 맘에 눈부시게 빛나던 추억 속에 그렇게 너를 또 한번 불러본다 좋았던 기억만 그리운 마음만 니가 떠나간 그 길 위에 이렇게 남아 서있다 잊혀질 만큼만 괜찮을 만큼만 눈물 머금고 기다린 떨림 끝에 다시 나는 메말라가는땅 위에 온몸이 타 들어가고 내 손끝에 남은 너의 향기 흩어져 날아가 멀어져 가는 너의 손을 붙잡지 못해 아프다 살아갈 만큼만 미워했던 만큼만 먼 훗날 너를 데려다 줄 그 봄이 오면 그날에 나 피우리라,"211,130",2014,Park Hyo Shin,Wild Flower,A♭ Major,4B,135.0,5:14,49.0,32.0,28.0,25.0,72.0,0.0,12.0,3.0,-9 dB,2014
2,"태양 눈, 코, 입",d!lq,잠비노 (Jambino),"랩/힙합, 인디음악",몸은 다 비웠고 넌 날 기억해 머린 아직 시끄럽고 너를 난 못 기억해 일이기도 해 이건 취미라 하기엔 너무 깊어 어제 그랬던 거에 두 배 평생 이런 나를 가만두게 난 이걸 짓이라 불러 넌 이게 뭔 짓이냐 물어도 부디 이런 날 가만 두기를 궁금한 채로 닥쳐주기로 어차피 예뻐질 기억 난 안 더럽힐래 far away about your blip right it just a Blip 그렇게 바쁘게 어디를 부디 남기를 네 몸에 I'm gonna be die legend 죽여줄래 1세기 후에 평생 살아버릴 기분 그래 버리면 어떡해 어 나 진짜 그래도 돼 그래 줄래 like 마이클 잭슨 몸은 다 비웠고 넌 날 기억해야 해 머리는 시끄럽지 여전히 난 널 역시 못 또다시 또다시 또다시 또다시 몸은 다 비웠고 넌 날 기억해 머리는 시끄럽지 여전히 너를 난 못 기억해,"2,766",2014,TAEYANG,"눈,코,입 (Eyes, Nose, Lips)",C Major,8B,144.0,3:50,72.0,52.0,63.0,25.0,74.0,0.0,26.0,4.0,-6 dB,2014
3,아이유 금요일에 만나요 (Feat. 장이정 Of HISTORY),금요일에 만나요 (Feat. 장이정 Of HISTORY),아이유,발라드,월요일엔 아마 바쁘지 않을까 화요일도 성급해 보이지 안 그래 수요일은 뭔가 어정쩡한 느낌 목요일은 그냥 내가 왠지 싫어 우 이번 주 금요일 우 금요일에 시간 어때요 주말까지 기다리긴 힘들어 시간아 달려라 시계를 더 보채고 싶지만 mind control 일분 일초가 달콤해 이 남자 도대체 뭐야 사랑에 빠지지 않곤 못 배기겠어 온 종일 내 맘은 저기 시계바늘 위에 올라타 한 칸씩 그대에게 더 가까이 우 이번 주 금요일 우 금요일에 시간 어때요 딱히 보고 싶은 영화는 없지만 딱히 먹고 싶은 메뉴는 없지만 주말까지 기다리긴 힘들어 시간아 달려라 시계를 더 보채고 싶지만 mind control 일분 일초가 달콤해 이 남자 도대체 뭐야 사랑에 빠지지 않곤 못 배기겠어 온 종일 내 맘은 저기 시계바늘 위에 올라타 한 칸씩 그대에게 더 가까이 나 뭔가에 홀린 것 같아 이 여잔 도대체 뭐야 사랑해주지 않고는 못 배기겠어 돌아오는 이번 주 금요일에 만나요 그 날 내 맘을 더 가져가줘요 더 가까이 더 가까이 와요 더 가까이,"725,849",2014,"IU, EL CAPITXN",Friday (feat.Jang Yi-jeong),A Major,11B,80.0,3:37,57.0,53.0,68.0,55.0,62.0,0.0,10.0,5.0,-5 dB,2014
4,San E (산이) 한여름밤의 꿀,한여름밤의 꿀,San E (산이),랩/힙합,무더운 밤 잠은 오지 않고 이런저런 생각에 불러본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한듯한 너 시원한 beer cheers 바랄게 뭐 더 있어 한여름밤의 꿀 한여름밤의 꿀 so sweet so sweet yum 정말 오랜만이야 어떻게 지냈어 나 똑같지 뭐 그냥 열심히 일했어 넌 어때 그때 그 사람 계속 만나 헤어졌구나 미안 괜한 얘기 꺼내 어쨌든 반가워 시간 진짜 빠르다 벌써 여기까지 왔네 우리도 근데 어쩜 넌 하나 변함없이 여전히 이쁘네 던진 농담 반 진담 반 왜 말 돌리는데 술 때문인 건지 아니면 부끄러운 건지 빨개지는 볼 너 생각나로 피어나는 추억에 화원 색색 아련한 이야기꽃 웃음꽃 I want to tell you something 예전에 나 너 좋아했던 거 알어 and you said I know 나 좀 취했나 봐 헛소리 신경 쓰지 말고 cheers 건배 오늘처럼 무더운 밤 잠은 오지 않고 이런저런 생각에 불러본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한듯한 너 시원한 beer cheers 바랄게 뭐 더 있어 한여름밤의 꿀 이건 마치 한여름밤의 꿀 우린 마치 so sweet so sweet yum Hold up 지금 나오는 노래 뭐지 잠깐 Hold up 알듯한데 제목 기억 안 나는 옛 노래 흥얼거려 멜로디 시원한 밤공기 자리 옮길 겸 걷자 신난다며 폴짝 뛰어가는 뒷모습 참 순수해 너란 여자 그러다 벌레 한 마리에 기겁하더니 가로등 불빛 아래 포개지는 그림자 하나 이 순간 둘 행복해 셋 어느새 쥐고 있는 손가락 넷 한여름밤의 꿈 깨고 싶지 않은 한여름밤의 꿀 바로 오늘 같은 무더운 밤 잠은 오지 않고 이런저런 생각에 불러본 너 나올 줄 몰랐어 간지러운 바람 웃고 있는 우리 밤하늘에 별 취한듯한 너 시원한 beer cheers 바랄게 뭐 더 있어 한여름밤의 꿀 이건 마치 한여름밤의 꿀 우린 마치 so sweet so sweet yum 오늘 너무 즐거웠어 너무 즐거웠어 너무 반가웠어 나도 반가웠어 잘 자 굿나잇 You have a sweet dream 이런 널 보고 있자니 바랄게 없어서 행복했어 So happy 너무 행복했어 Me too 잘 자 굿나잇 You have a sweet dream 이런 널 안고 있자니 바랄게 뭐 더 있어 한여름밤의 꿀 한여름밤의 꿀 so sweet so sweet yum 한여름밤의 꿀 이건 마치 한여름밤의 꿀 우린 마치 so sweet so sweet yum,"59,913",2014,"San E, Raina",A midsummer night's sweetness,A♭ Major,4B,86.0,3:53,48.0,74.0,78.0,78.0,57.0,0.0,31.0,23.0,-4 dB,2014
5,HIGH4 (하이포) 봄 사랑 벚꽃 말고,봄 사랑 벚꽃 말고,HIGH4 (하이포),발라드,길었던 겨우내 줄곧 품이 좀 남는 밤색 코트 그 속에 나를 쏙 감추고 걸음을 재촉해 걸었어 그런데 사람들 말이 너만 아직도 왜 그러니 그제서야 둘러보니 어느새 봄이 손 잡고 걸을 사람 하나 없는 내게 달콤한 봄바람이 너무해 나만 빼고 다 사랑에 빠져 봄노래를 부르고 꽃잎이 피어나 눈 앞에 살랑거려도 난 다른 얘기가 듣고 싶어 한바탕 휩쓸고 지나가버릴 오오 봄 사랑 벚꽃 말고 봄 사랑 벚꽃 말고 봄 사랑 벚꽃 말고 봄 사랑 벚꽃 말고 손에 닿지도 않을 말로 날 꿈틀거리게 하지 말어 맘 먹고 밖에 나가도 막상 뭐 별 거 있나 손 잡고 걸을 사람 하나 없는 내게 오 사랑노래들이 너무해 나만 빼고 다 사랑에 빠져 봄노래를 부르고 꽃잎이 피어나 눈 앞에 살랑거려도 난 다른 얘기가 듣고 싶어 한바탕 휩쓸고 지나가버릴 오오 봄 사랑 벚꽃 말고 남들보다 절실한 사랑 노래 가사를 불러 봐 수많은 연인들 가운데 왜 나는 혼자만 똑같은 거리와 어제와 같은 옷차림 난 제자린데 왜 세상은 변한 것만 같지 누군가와 봄길을 거닐고 할 필욘 없지만 누구나 한번쯤은 머물고 싶은 그런 기억을 만들고 싶어 떨어지는 벚꽃잎도 엔딩이 아닌 봄의 시작이듯 사실은 요즘 옛날 생각이 나 걷기만 해도 그리워지니까 다시 느낄 수 있나 궁금해지지만 Then you know what 나만 빼고 다 사랑에 빠져 봄노래를 부르고 꽃잎이 피어나 눈 앞에 살랑거려도 난 다른 얘기가 듣고 싶어 한바탕 휩쓸고 지나가버릴 오오 봄 사랑 벚꽃 말고 봄 사랑 벚꽃 말고 봄 사랑 벚꽃 말고 봄 사랑 벚꽃 말고 봄 사랑 벚꽃 말고,"1,843",2014,"HIGH4, IU","Not Spring, Love, or Cherry Blossoms",G Major,9B,80.0,3:15,57.0,48.0,77.0,79.0,46.0,0.0,44.0,5.0,-7 dB,2014
6,Apink (에이핑크) Mr. Chu (On Stage),Mr. Chu (On Stage),Apink (에이핑크),댄스,한번 보면 두 번 더 보고 싶어 두번 세번 보면 너를 더 안고 싶어 너와 커플링 커플링 손에 끼고서 함께 이 길을 걷고 싶어 난 매일 매일 봐도 난 더 좋아져 두번 세번 나의 볼을 꼬집어 봐도 마치 Dreaming Dreaming 꿈을 꾸는 듯 생각만 해도 난 미소가 Mr. Chu 입술 위에 Chu 달콤하게 Chu 온몸에 난 힘이 풀려 내 맘 흔들 흔들어 날 흔들어놔요 I'm falling falling for your love Hey you 입술 위에 Chu Everyday with you 널 보면 내 눈이 감겨 몰래 살짝 다가와 또 키스해줄래 내 꿈결 같은 넌 나만의 Mr. Chu 부드러운 감촉 잊을 수 없어 화끈거리는 내 얼굴 빨개지는 걸 It's so lovely lovely 사랑스러워 난 네가 자꾸만 좋아져 Mr. Chu 입술 위에 Chu 달콤하게 Chu 온몸에 난 힘이 풀려 내 맘 흔들 흔들어 날 흔들어놔요 I'm falling falling for your love Hey you 입술 위에 Chu Everyday with you 널 보면 내 눈이 감겨 몰래 살짝 다가와 또 키스해줄래 내 꿈결 같은 넌 나만의 내 소원을 들어줘요 영원한 사랑 이뤄주길 짜릿짜릿한 느낌 절대 맘 변하지 않기 평생 나만 바라봐줘 baby Mr. Chu 입술 위에 Chu 달콤하게 Chu 온몸에 난 힘이 풀려 내 맘 흔들 흔들어 날 흔들어놔요 I'm falling falling for your love Hey you 입술 위에 Chu Everyday with you 널 보면 내 눈이 감겨 몰래 살짝 다가와 또 키스해줄래 내 꿈결 같은 넌 나만의 Mr. Chu,"95,507",2014,Apink,Mr. Chu (On Stage),B Minor,10A,120.0,3:25,41.0,91.0,73.0,68.0,17.0,0.0,17.0,6.0,-4 dB,2014
7,아이유 너의 의미 (Feat. 김창완),너의 의미 (Feat. 김창완),아이유,발라드,너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속 너의 모든 것은 내게로 와 풀리지 않는 수수께끼가 되네 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드는 창을 너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속 너의 모든 것은 내게로 와 풀리지 않는 수수께끼가 되네 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드는 창을 슬픔은 간이역의 코스모스로 피고 스쳐 불어온 넌 향긋한 바람 나 이제 뭉게구름 위에 성을 짓고 널 향해 창을 내리 바람 드는 창을 너의 그 한 마디 말도 그 웃음도 나에겐 커다란 의미 너의 그 작은 눈빛도 쓸쓸한 그 뒷모습도 나에겐 힘겨운 약속,"725,849",2014,"IU, Kim Chang-Wan",Meaning of you,E♭ Major,5B,80.0,3:16,54.0,45.0,59.0,33.0,72.0,8.0,11.0,3.0,-8 dB,2014
8,걸스데이 Something,Something,걸스데이,댄스,don't you look into my eyes and lie again im sick of being alone 흔들리는 표정 말투에 넌 뭔가 있는 듯해 네 몸에 베인 낯선 향기에 뭔가에 홀린 듯해 내 촉에 찔리나봐 허를 찌르니까 넋이 나가 앞뒤가 이랬다 저랬다 왜 그러니 내 촉에 찔리나봐 허를 찌르니까 넋이 나가 왜 덜컥 겁이나 이손 놔 날 속이지마 나만 몰랐었던 something 분명히 느껴져 must be something 뻔한 너의 거짓말 그만 여기까지만 nothing it's something stop it no uh 흐린 하늘 속 그 무지개 슬피 우는 피아노 네 몸에 베인 낯선 향기에 뭔가에 홀린듯해 내 촉에 찔리나봐 허를 찌르니까 넋이 나가 앞뒤가 이랬다 저랬다 왜 그러니 내 촉에 찔리나봐 허를 찌르니까 넋이 나가 왜 덜컥 겁이나 이손 놔 날 속이지마 나만 몰랐었던 something 분명히 느껴져 must be something 뻔한 너의 거짓말 그만 여기까지만 nothing it's something stop it no uh 사랑을 쉽게 얻으려고 하지마 후회 하지마 속이고 여잘 또 울리는 넌 여기까지 bye bye bye out 나만 몰랐었던 something 분명히 느껴져 must be something 뻔한 너의 거짓말 그만 여기까지만 nothing it's something stop it no uh 내가 준 사랑이 넌 우스웠니 내가 준 사랑이 지겨워졌니 니 앞에서 보이기 싫어 참았던 눈물 내가 준 사랑이 넌 우스웠니 내가 준 사랑이 지겨워졌니 우린 여기까지니 우린 여기까지니,"35,144",2014,Girl's Day,Something,F# Minor,11A,108.0,3:21,61.0,68.0,81.0,67.0,18.0,0.0,7.0,3.0,-4 dB,2014
9,AKMU (악뮤) 200%,200%,AKMU (악뮤),포크/블루스,uh 나를봐 나를봐 나를봐 날 바라봐 바라봐 바라봐 너를 본 내 마음속에 사랑이 내 본능이 고백 빨리 하라 해 네 주위를 둘러싼 수많은 경쟁자 Yes I'm a soldier for you sweet멘트 장전 발사하기 전에 제군들 입 풀었나 yes 완전 간장콩장콩장장 equals 간 콩장장 Yeah I'm ready 아침이 깨는 소리 Morning 바람들은 makes harmony 저물어가는 달빛은 let it go uh 여물어가는 romance 꿈꾸고 good night Hey baby it's comin' new day 새로운 느낌이야 이건 Hey 왜 이래 It's common lovesick 아무래도 이거는 이거는 It must be L O V E 200 percent sure of that I want you really I mean really 정말이야 널 좋아하는데 빨갛게 익은 내 얼굴이 그걸 증명해 나를 봐 나를 봐 나를 봐 날 바라봐 바라봐 바라봐 난 strawberry처럼 very very 상큼한 사람 don't worry worry 어리바리한 그대 주위 사람들은 모두 다 이기주의 밤낮을 걸으며 널 지켜줄 나와 달리 그들은 차 키를 과시하지만 BAD GUY 자다가 일어나 잠꼬대로도 널 찾네 아침이 깨는 소리 Morning 바람들은 makes harmony 저물어가는 달빛은 let it go 여물어가는 romance 꿈꾸고 Hello 어디 가는 거니 where you I'll be there 네가 있는 그 거리 that way 아직 우리 사이 서먹해도 그래도 try는 해봐야지 나라도 It must be L O V E 200 percent sure of that I want you really I mean really 정말이야 널 좋아하는데 빨갛게 익은 내 얼굴이 그걸 증명해 처음이야 이런 기분 멈추질 못하겠어 막 넘쳐 누가 잠가놓은 듯 내 입은 네 앞에서 오물쪼물 안 열려 내 부름에 뒤를 돌아보는 네 두 눈을 보니 I said see you tomorrow Oh baby it can't be over like this someone help me 내 맘을 전할 수 있다면 사실은 나 널 oh please 좋아하는데 I'm sure 모든 걸 담은 이 눈빛이 그걸 증명해 It must be L O V E 200 percent sure of that I want you really I mean really 정말이야 널 좋아하는데 빨갛게 익은 내 얼굴이 그걸 증명해 It must be L O V E,"236,037",2014,AKMU,200%,C# Major,3B,102.0,3:13,61.0,64.0,85.0,87.0,38.0,0.0,27.0,5.0,-5 dB,2014
