,artist_song,song_x,artist_x,genre,lyric,like,year_x,artist_y,song_y,key,camelot,bpm,duration,popularity,energy,danceability,happiness,acousticness,instrumentalness,liveness,speechiness,loudness,year_y
0,티아라 Roly-Poly,Roly-Poly,티아라,댄스,어디까지 왔나 또 어디 숨었나 맘에 들어 왔나 나나나나나 I like you 어디서 오셨나요 자꾸 눈이 가네요 그대 눈빛이 나는 참 맘에 드네요 옆으로 가고 싶지만 용기가 안나서 가슴이 떨려와 나는 참 망설이네요 몰라 어떡해 난 몰라 미치겠어 널 놓치기 싫어 너에게로 점점 다가갈래 점점 내 앞에서 떠날 수 없게 Roly Poly Roly Roly Poly 날 밀어내도 난 다시 네게로 다가가서 Roly Poly Roly Roly Poly 나만 보일꺼야 너에게 나를 보여 줄꺼야 시계는 왜 보나요 우리 만남부터 쭉 멈춰 있는데 나는 참 맘에 드네요 나 오늘 이상하네요 자꾸 떨리네요 그대를 보고서 나는 참 망설이네요 몰라 불안해 난 몰라 미치겠어 어디로 갈까봐 한걸음 더 점점 다가갈래 점점 내 눈에서 떠날 수 없게 Roly Poly Roly Roly Poly 날 밀어내도 난 다시 네게로 다가가서 Roly Poly Roly Roly Poly 나만 보일꺼야 너에게 나를 보여 줄꺼야 I like like this I like like that I like this like that yeah Roly Poly Roly Roly Poly 날 밀어내도 난 다시 네게로 다가가서 Roly Poly Roly Roly Poly 나만 보일꺼야 너에게 나를 보여 줄꺼야 Ah Ah Ah Ah Tonight 시간이 된거야 내게로 올거야 Oh Tonight Ah Ah Ah Ah Tonight 널 기다릴 거야 너도 날 놓치기 싫을 거야,"17,363",2011,T-ARA,ROLY-POLY,Key,Camelot,BPM,Duration,28.0,94.0,83.0,91.0,11.0,0.0,5.0,6.0,-3 dB,2011
1,GG (박명수 & G-Dragon) 바람났어 (Feat. 박봄),바람났어 (Feat. 박봄),GG (박명수 & G-Dragon),댄스,Oh G-Dragon A-yo Great Park 뭐해요 딱히 오늘 파티있는데 같이 갈래요 책임 질꺼야 Yeah 한번 놀아볼까 출바알 오늘 밤 나 바람났어 친구 따라 강남 갔어 여름도 다가왔으니 왕자가 돌아왔어 나도 제대로 바람났어 놀고 싶어 안달났어 열광의 도가니 신나는 분위기 우린 지금 야단났어 난 바람났어 난 바람났어 미 미안해 엄마 용서해 엄마 오늘 밤 전화 다 꺼 I'm on fire 우린 좀 바빠 hey 민서 아빠 웃어봐 하하 하하하 허파에 바람찼어 난 바람났어 난 바람났어 오늘 같은 Saturday night 미친 듯이 노는 거야 Oh baby oh oh baby 바람아 더 불어다오 내게로 한 여름에 party tonight 뛰어 높이 가는 거야 Oh baby oh oh baby 하늘을 날자 Let's go Let's go Let's go Let's go Let's go Come on 오늘 밤 또 바람났어 친구 따라 강북갔어 UV는 이태원 갔어 우리 둘은 홍대에 왔어 발바닥에 불이났어 정신 나간 우리라서 나 오랜만에 물 만났어 물고긴 줄 알았어 매력이 넘쳐 스타일 멋져 swag swag 동해도 번쩍 서해도 번쩍 이런 남자들 만나봤어 우린 바람났어 우린 바람났어 우린 바람났어 우린 바람났어 오늘 같은 Saturday night 미친 듯이 노는 거야 Oh baby oh oh baby 바람아 더 불어다오 내게로 한 여름에 party tonight 뛰어 높이 가는 거야 Oh baby oh oh baby 하늘을 날자 늦바람났어,"2,013",2011,G-DRAGON,POWER,Key,Camelot,BPM,Duration,69.0,86.0,61.0,73.0,16.0,0.0,21.0,30.0,-3 dB,2011
2,2NE1 내가 제일 잘 나가,내가 제일 잘 나가,2NE1,댄스,내가 제일 잘 나가 내가 제일 잘 나가 내가 제일 잘 나가 내가 제일 잘 나가 제 제 제일 잘 나가 Bam Ratatata Tatatatata Bam Ratatata Tatatatata Bam Ratatata Tatatatata Bam Ratatata Tatatatata Oh my god 누가 봐도 내가 좀 죽여주잖아 alright 둘째가라면 이 몸이 서럽잖아 alright 넌 뒤를 따라오지만 난 앞만 보고 질주해 네가 앉은 테이블 위를 뛰어다녀 I don’t care 건드리면 감당 못해 I’m hot hot hot hot fire 뒤집어지기 전에 제발 누가 날 좀 말려 옷장을 열어 가장 상큼한 옷을 걸치고 거울에 비친 내 얼굴을 꼼꼼히 살피고 지금은 여덟 시 약속시간은 여덟 시 반 도도한 걸음으로 나선 이 밤 내가 제일 잘 나가 내가 제일 잘 나가 내가 제일 잘 나가 내가 제일 잘 나가 제 제 제일 잘 나가 내가 봐도 내가 좀 끝내주잖아 alright 네가 나라도 이 몸이 부럽잖아 alright 남자들은 날 돌아보고 여자들은 따라해 내가 앉은 이 자리를 매일 넘봐 피곤해 선수인척 폼만 잡는 어리버리한 Playa 넌 바람 빠진 타이어처럼 보기 좋게 차여 어떤 비교도 난 거부해 이건 겸손한 얘기 가치를 논하자면 난 Billion dollar baby 뭘 쫌 아는 사람들은 다 알아서 알아봐 아무나 잡고 물어봐 누가 제일 잘 나가 내가 제일 잘 나가 내가 제일 잘 나가 내가 제일 잘 나가 내가 제일 잘 나가 제 제 제일 잘 나가 누가 네가 나보다 더 잘 나가 No no no no Na na na na 누가 네가 나보다 더 잘 나가 No no no no Na na na na 누가 네가 나보다 더 잘 나가 No no no no Na na na na 누가 네가 나보다 더 잘 나가 No no no no Na na na na Bam Ratatata Tatatatata Bam Ratatata Tatatatata Bam Ratatata Tatatatata Bam Ratatata Tatatatata Bam Ratatata Tatatatata Oh my god,"48,173",2011,2NE1,I Am the Best (내가 제일 잘 나가),C Major,8B,128,3:31,49.0,84.0,82.0,74.0,1.0,0.0,5.0,4.0,-4 dB,2011
3,비스트 비가 오는 날엔,비가 오는 날엔,비스트,발라드,세상이 어두워지고 조용히 비가 내리면 여전히 그대로 오늘도 어김없이 난 벗어나질 못하네 너의 생각 안에서 이제 끝이라는 걸 알지만 미련이란 걸 알지만 이제 아닐 걸 알지만 그까짓 자존심에 널 잡지 못했던 내가 조금 아쉬울 뿐이니까 비가 오는 날엔 나를 찾아와 밤을 새워 괴롭히다 비가 그쳐가면 너도 따라서 서서히 조금씩 그쳐가겠지 취했나 봐 그만 마셔야 될 것 같애 비가 떨어지니까 나도 떨어질 것 같애 뭐 네가 보고 싶다거나 그런 건 아냐 다만 우리가 가진 시간이 좀 날카로울 뿐 네가 참 좋아했었던 이런 날이면 아직 너무 생생한 기억을 꺼내놓고 추억이란 덫에 일부러 발을 들여놔 벗어나려고 발버둥조차 치지 않아 이제 너를 다 지워냈지만 모두 다 비워냈지만 또다시 비가 내리면 힘들게 숨겨놨던 너의 모든 기억들이 다시 돌아와 널 찾나 봐 비가 오는 날엔 나를 찾아와 밤을 새워 괴롭히다 비가 그쳐가면 너도 따라서 서서히 조금씩 그쳐가겠지 너에게로 이젠 돌아갈 길은 없지만 지금 행복한 너를 보며 난 그래도 웃어볼게 널 잡을 수 있었던 힘이 내겐 없었으니까 비가 오는 날엔 나를 찾아와 밤을 새워 괴롭히다 비가 그쳐가면 너도 따라서 서서히 조금씩 그쳐 가겠지 어차피 끝나버린 걸 이제 와 어쩌겠어 뒤늦게 후회나 하는 거지 덜떨어진 놈처럼 비는 항상 오니까 계속 반복되겠지 그치고 나면 그제서야 나도 그치겠지 비는 항상 오니까 계속 반복되겠지 그치고 나면 그제서야 나도 그치겠지,"78,198",2011,Beast,On Rainy Days,A♭ Minor,1A,90,3:46,52.0,61.0,69.0,69.0,72.0,0.0,11.0,6.0,-6 dB,2011
4,씨스타 So Cool (쏘쿨),So Cool (쏘쿨),씨스타,댄스,"Are you Ready Sistar and Brave Sound We’re No.1 The illest collaboration Let's get it started I wanna rock I wanna rock I wanna rock Rock it like this Hey rock it rock it like this Sistar Rock it like this Hey rock it rock it like this Party time Rock it like this Hey rock it rock it like this Sistar Rock it like this Hey rock it rock it like this Party time 웃기고 앉아있네 무슨 사랑이 장난이니 왜 자꾸만 맘대로 하는데 네가 뭐 그리 잘났는데 내 맘 아프게 하니 헛소린 집어치울래 난 빌고 빌었어 네가 네가 불행하라고 속상해서 그땐 그땐 그땐 정말 그랬어 난 빌고 빌었어 네가 네가 망가지라고 It’s Party Time Party Time 돌아보니 웃음만 나와 I feel so cool cool cool 눈을 씻고 찾아봐도 Cool Cool Cool 나만한 Girl 없을걸 I feel so cool cool cool 여기저기 둘러봐도 Cool Cool Cool 나 같은 Girl 없을걸 yeah I feel so cool cool yeah I feel so e e e yeah I feel so cool cool yeah I feel so cool cool yeah I feel so e e e yeah I feel so cool cool 난 괘 괘 괘 괘 괜찮아 I'm so so cool like Ice-T 후회는 갖다 버려 priceless 세상의 반 반이 남자 너 때문에 나 나 울지않아 구차하게 너를 잡거나 매달릴 일은 절대 No Let you know, 1 thing straight Hot보다 무서운게 Cool Cool Cool 난 빌고 빌었어 네가 네가 불행하라고 속상해서 그땐 그땐 그땐 정말 그랬어 난 빌고 빌었어 네가 네가 망가지라고 It’s Party Time Party Time 돌아보니 웃음만 나와 I feel so cool cool cool 눈을 씻고 찾아봐도 Cool Cool Cool 나만한 Girl 없을걸 I feel so cool cool cool 여기저기 둘러봐도 Cool Cool Cool 나 같은 Girl 없을걸 yeah I feel so cool cool yeah I feel so e e e yeah I feel so cool cool yeah I feel so cool cool yeah I feel so e e e yeah I feel so cool cool 난 괘 괘 괘 괘 괜찮아 Sistar Ah High so cool we're cool uno dos tres cuatro Sistar Ah High so cool we're cool 넌 다시 돌아갈 일 없을걸 날 붙잡지마 Don't wanna be a fool 초라한 둘보다 화려한 솔로가 좋아 나 이제 더 쿨 해질거야 Rock it like this Hey rock it rock it like this Sistar Rock it like this Hey rock it rock it like this Party time Rock it like this Hey rock it rock it like this Sistar Rock it like this Hey rock it rock it like this","48,408",2011,SISTAR,So Cool,F# Minor,11A,128,3:21,47.0,94.0,75.0,92.0,3.0,0.0,42.0,5.0,-3 dB,2011
5,2NE1 UGLY,UGLY,2NE1,댄스,밝게 웃어보지만 내 맘에 들지 않아 난 예쁘지 않아 아름답지 않아 Oh oh oh oh Oh oh oh oh 노랠 불러보지만 아무도 듣지 않아 난 예쁘지 않아 아름답지 않아 Oh oh oh oh Oh oh oh oh 난 왜 이렇게 못난 걸까 어떡하면 나도 너처럼 환하게 웃어볼 수 있을까 또 화가나 왜 늘 완벽하지 못해 이 깨진 거울 속 못난 모습을 향해 탓하기만 해 쳐다보지마 지금 이 느낌이 싫어 난 어디론가 숨고만 싶어 벗어 나고 싶어 이 세상은 거짓말 I think I’m ugly And nobody wants to love me Just like her I wanna be pretty I wanna be pretty Don’t lie to my face tellin’ me I’m pretty I think I’m ugly And nobody wants to love me Just like her I wanna be pretty I wanna be pretty Don’t lie to my face cuz I know I’m ugly 날 쉽게 이해한다고 하지마 못 생기고 삐뚤어진 내 마음이 널 원망할지도 몰라 말 시키지마 난 너와 어울리지 못해 그 잘난 눈빛 속 차가운 가식이 날 숨막히게 해 다가오지마 너의 관심조차 싫어 난 어디론가 떠나고 싶어 소리 치고 싶어 이 세상은 거짓말 I think I’m ugly And nobody wants to love me Just like her I wanna be pretty I wanna be pretty Don’t lie to my face tellin’ me I’m pretty I think I’m ugly And nobody wants to love me Just like her I wanna be pretty I wanna be pretty Don’t lie to my face cuz I know I’m ugly All alone I’m all alone I’m all alone 따뜻함이란 없어 곁엔 아무도 없어 All alone I’m all alone All alone I’m all alone I’m always all alone 따뜻함이란 없어 곁엔 그 누구도 날 안아줄 사람 없어 I think I’m ugly And nobody wants to love me Just like her I wanna be pretty I wanna be pretty Don’t lie to my face tellin’ me I’m pretty I think I’m ugly And nobody wants to love me Just like her I wanna be pretty I wanna be pretty Don’t lie to my face cuz I know I’m ugly,"48,173",2011,2NE1,Ugly,A♭ Major,4B,128,4:09,57.0,85.0,65.0,52.0,20.0,0.0,22.0,8.0,-3 dB,2011
6,아이유 좋은 날,좋은 날,아이유,댄스,어쩜 이렇게 하늘은 더 파란 건지 오늘따라 왜 바람은 또 완벽한지 그냥 모르는 척 하나 못들은 척 지워버린 척 딴 얘길 시작할까 아무 말 못하게 입맞출까 눈물이 차올라서 고갤 들어 흐르지 못하게 또 살짝 웃어 내게 왜 이러는지 무슨 말을 하는지 오늘 했던 모든 말 저 하늘 위로 한번도 못했던 말 울면서 할 줄은 나 몰랐던 말 나는요 오빠가 좋은걸 어떡해  새로 바뀐 내 머리가 별로였는지 입고 나왔던 옷이 실수였던 건지 아직 모르는 척 기억 안 나는 척 아무 일없던 것처럼 굴어볼까 그냥 나가자고 얘기할까 눈물이 차올라서 고갤 들어 흐르지 못하게 또 살짝 웃어 내게 왜 이러는지 무슨 말을 하는지 오늘 했던 모든 말 저 하늘 위로 한번도 못했던 말 울면서 할 줄은 나 몰랐던 말 나는요 오빠가 좋은걸 어떡해  이런 나를 보고 그런 슬픈 말은 하지 말아요 철없는 건지 조금 둔한 건지 믿을 수가 없는걸요 눈물은 나오는데 활짝 웃어 네 앞을 막고서 막 크게 웃어 내가 왜 이러는지 부끄럼도 없는지 자존심은 곱게 접어 하늘위로 한 번도 못했던 말 어쩌면 다신 못할 바로 그 말 나는요 오빠가 좋은걸 아이쿠 하나 둘 I'm in my dream It's too beautiful beautiful day Make it a good day Just don't make me cry 이렇게 좋은 날,"725,898",2011,IU,Good day,A Major,11B,128,3:54,63.0,88.0,64.0,55.0,17.0,0.0,10.0,7.0,-3 dB,2011
7,포맨 (4MEN) 살다가 한번쯤,살다가 한번쯤,포맨 (4MEN),발라드,눈을 감기만 해도 눈물이 흘러 니가 보여서 많이 보고싶어서 I know 다 끝난 일인걸 같은 공간 같은 시간 같은 세상이지만 어딜 봐도 어딜 가도 너는 보이질 않아 살다가 한번쯤은 마주치기를 난 아직도 그곳에 살아 어디서 그 어디서 무얼하든지 건강하게 행복하게 살아 살아있단 것으로 정말 고마워 너의 소식이 내가 사는 이윤걸 I know 다 끝난 일인걸 다른 만남 다른 사람 사랑해도 괜찮아 누굴 만나 뭐가 됐건 너만 행복하면 돼 살다가 한번쯤은 마주치기를 난 아직도 그곳에 살아 어디서 그 어디서 무얼하든지 건강하게 행복하게 살아 한번만 딱 한번만 마주친다면 꼭 이 말 전해줄거야 태어나 너를 만나 고마웠다고 잘살라고 꼭 행복하라고,"38,257",2011,4MEN,Once While Living,F Major,7B,87,3:55,30.0,57.0,27.0,13.0,74.0,0.0,24.0,4.0,-6 dB,2011
8,다비치 안녕이라고 말하지마,안녕이라고 말하지마,다비치,발라드,떨리는 너의 입술을 난 난 처음 보았지 무슨 말 하려고 말 하려고 뜸만 들이는지 슬픈 예감은 다 맞는단 노래 가사처럼 설마 아니겠지 아닐 거야 아니어야만 돼 벌써 넌 나를 떠나 니 마음마저 떠나 또 몸마저도 떠나는데 난 몰라 널 잡을 방법을 좀 누가 내게 말해줘요 오늘밤 그 말만은 말아요 왜 날 버리고 갔나요 나 마음이 아파 가슴이 아파 눈물 차올라요 아직은 안녕 우린 안돼요 넌 그 입을 더 열지마 안녕이라고 내게 말하지마 차가운 너의 한마디가 날 주저앉혔지 세상 무너질 듯 무너진 듯 눈물만 눈물만 지금 순간이 가면 이 순간이 지나면 영영 우린 이별인데 사랑해 죽도록 사랑한 날 날 버리지 말아줘요 오늘밤 그 말만은 말아요 왜 날 버리고 갔나요 나 마음이 아파 가슴이 아파 눈물 차올라요 아직은 안녕 우린 안돼요 넌 그 입을 더 열지마 안녕이라고 내게 말하지마 이별이 뭔지 나는 몰라요 그냥 서럽고 서러워 나 사연이 많아 추억이 많아 가슴 찢어져요 아직은 안녕 우린 안돼요 넌 그 입을 더 열지마 안녕이라고 내게 말하지마 안녕이라고 내게 말하지마,"112,586",2011,DAVICHI,안녕이라고 말하지마,Key,Camelot,BPM,Duration,48.0,73.0,69.0,51.0,43.0,0.0,9.0,3.0,-3 dB,2011
9,노을 그리워 그리워,그리워 그리워,노을,발라드,늦은 저녁 하루를 보내고 찬 바람에 창문을 닫으니 아득하게 조용한 방에서 아주 작은 조명 하나를 켜 놓고 어둑해진 밖을 바라보니 문득 너무도 슬퍼지네 매일 듣는 노래 List엔 하나 같이 다 우리 얘기뿐 이별은 모두 다 같으니까 다시 조심스럽게 행복했던 날 아름답던 너를 그려보니 나도 모르게 눈물이 나네 그리워 그리워 니가 너무나 그리워서 보고 싶어서 잊고 싶지 않아서 잊을 수가 없어서 못 해준 게 너무 많아서 더 그리워 너무나도 사랑했었기에 아름답게 우린 헤어졌어 현실 안에 서로를 위해서 알아 어차피 우린 안 될 걸 누구보다 잘 알지만 왜 이렇게도 눈물이 나는 건지 그리워 그리워 니가 너무나 그리워서 보고 싶어서 잊고 싶지않아서 잊을 수가 없어서 못해준게 너무 많아서 그리워 그리워 니가 너무나 그리워서 보고싶어서 정말 널 잊고 싶지 않아서 널 다시 붙잡고 싶어서 지금 너무나 난 니가 그리워,"38,149",2011,Noel,Missing you,A♭ Major,4B,65,3:53,38.0,39.0,56.0,40.0,66.0,0.0,13.0,3.0,-7 dB,2011
